mx,my,desiredHeading, currentHeading, headingChange,,,,,,,,mx,my,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,96,99,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,-48,-34,
17,42,0,49.76,-49.76,,,9.5,,-7,10.2857142857143,,24,32.5,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
15,47,0,56.31,-56.31,,,14.5,,-9,15.6992481203008,,72,66.5,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,-72,-66.5,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,35 tiles,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,30-35 tiles,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,97.5,2.47649866269072,1.65099910846048
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,IN_PER_METER,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,39.3701,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
12,46,0,45,-45,,,13.5,,-12,14.6165413533835,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,46,0,48.18,-48.18,,,13.5,,-11,14.6165413533835,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,46,0,53.62,-53.62,,,13.5,,-9,14.6165413533835,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,41,0,34.51,-34.51,,,8.5,,-10,9.20300751879699,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,46,0,48.18,-48.18,,,13.5,,-11,14.6165413533835,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
15,46,0,53.62,-53.62,,,13.5,,-9,14.6165413533835,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
16,44,0,50.91,-50.91,,,11.5,,-8,12.4511278195489,,,,
15,40,0,35.54,-35.54,,,7.5,,-9,8.1203007518797,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
16,44,0,50.91,-50.91,,,11.5,,-8,12.4511278195489,,,,
12,44,0,40.1,-40.1,,,11.5,,-12,12.4511278195489,,,,
13,45,0,45,-45,,,12.5,,-11,13.5338345864662,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
16,41,0,40.24,-40.24,,,8.5,,-8,9.20300751879699,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
12,44,0,40.1,-40.1,,,11.5,,-12,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
12,45,0,41.82,-41.82,,,12.5,,-12,13.5338345864662,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
13,46,0,48.18,-48.18,,,13.5,,-11,14.6165413533835,,,,
16,45,0,52.59,-52.59,,,12.5,,-8,13.5338345864662,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
16,42,0,45,-45,,,9.5,,-8,10.2857142857143,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
13,41,0,32.91,-32.91,,,8.5,,-11,9.20300751879699,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
12,46,0,45,-45,,,13.5,,-12,14.6165413533835,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
16,44,0,50.91,-50.91,,,11.5,,-8,12.4511278195489,,,,
14,46,0,49.9,-49.9,,,13.5,,-10,14.6165413533835,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
16,46,0,55.62,-55.62,,,13.5,,-8,14.6165413533835,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
16,46,0,55.62,-55.62,,,13.5,,-8,14.6165413533835,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
12,45,0,41.82,-41.82,,,12.5,,-12,13.5338345864662,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,41,0,34.51,-34.51,,,8.5,,-10,9.20300751879699,,,,
14,46,0,49.9,-49.9,,,13.5,,-10,14.6165413533835,,,,
11,42,0,33.02,-33.02,,,9.5,,-13,10.2857142857143,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
11,44,0,38.66,-38.66,,,11.5,,-13,12.4511278195489,,,,
11,43,0,34.99,-34.99,,,10.5,,-13,11.3684210526316,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
16,41,0,40.24,-40.24,,,8.5,,-8,9.20300751879699,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,45,0,45,-45,,,12.5,,-11,13.5338345864662,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
12,45,0,41.82,-41.82,,,12.5,,-12,13.5338345864662,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
12,42,0,34.38,-34.38,,,9.5,,-12,10.2857142857143,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
16,44,0,50.91,-50.91,,,11.5,,-8,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,46,0,49.9,-49.9,,,13.5,,-10,14.6165413533835,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
16,44,0,50.91,-50.91,,,11.5,,-8,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
12,45,0,41.82,-41.82,,,12.5,,-12,13.5338345864662,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
12,44,0,40.1,-40.1,,,11.5,,-12,12.4511278195489,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
13,46,0,48.18,-48.18,,,13.5,,-11,14.6165413533835,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,45,0,46.74,-46.74,,,12.5,,-10,13.5338345864662,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
16,44,0,50.91,-50.91,,,11.5,,-8,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
17,44,0,55.49,-55.49,,,11.5,,-7,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,46,0,53.62,-53.62,,,13.5,,-9,14.6165413533835,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
15,42,0,42.88,-42.88,,,9.5,,-9,10.2857142857143,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
12,44,0,40.1,-40.1,,,11.5,,-12,12.4511278195489,,,,
13,42,0,37.41,-37.41,,,9.5,,-11,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,46,0,49.9,-49.9,,,13.5,,-10,14.6165413533835,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
11,45,0,40.36,-40.36,,,12.5,,-13,13.5338345864662,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,46,0,53.62,-53.62,,,13.5,,-9,14.6165413533835,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
12,44,0,40.1,-40.1,,,11.5,,-12,12.4511278195489,,,,
13,43,0,39.47,-39.47,,,10.5,,-11,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
16,43,0,47.12,-47.12,,,10.5,,-8,11.3684210526316,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
14,46,0,49.9,-49.9,,,13.5,,-10,14.6165413533835,,,,
13,45,0,45,-45,,,12.5,,-11,13.5338345864662,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
13,44,0,43.26,-43.26,,,11.5,,-11,12.4511278195489,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
12,44,0,40.1,-40.1,,,11.5,,-12,12.4511278195489,,,,
16,42,0,45,-45,,,9.5,,-8,10.2857142857143,,,,
14,44,0,45,-45,,,11.5,,-10,12.4511278195489,,,,
15,44,0,48.81,-48.81,,,11.5,,-9,12.4511278195489,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
15,45,0,50.53,-50.53,,,12.5,,-9,13.5338345864662,,,,
