mx, my, mz, mx_bias, my_bias, mz_bias, desiredHeading, heading, headingChange, runningMotor,,,,
21,37,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,36,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,35,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,36,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
19,35,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,36,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,36,-5,-5457,-5076,12765,0,134.84,-134.84, not,,,,
23,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,37,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
22,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
23,37,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
18,36,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
21,37,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
18,36,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,34,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,36,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
21,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,37,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
22,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,37,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,34,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,38,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,37,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,37,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,39,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,36,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,36,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,37,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,37,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,34,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,36,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,36,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,36,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,37,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
21,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
23,35,-3,-5457,-5076,12765,0,134.87,-134.87, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,34,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
23,35,-1,-5457,-5076,12765,0,134.87,-134.87, not,,,,
23,35,-2,-5457,-5076,12765,0,134.87,-134.87, not,,,,
21,36,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,37,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,34,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,37,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,36,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,36,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
19,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
23,38,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
